Node,NumThreads,Load,Algorithm,Time
A,1,96,Algorithm1,0.001871
A,1,96,Algorithm1,0.001873
A,1,96,Algorithm1,0.001863
A,1,96,Algorithm1,0.001867
A,1,96,Algorithm1,0.001974
A,1,96,Algorithm1,0.002003
A,1,96,Algorithm1,0.002002
A,1,96,Algorithm1,0.001999
A,1,96,Algorithm1,0.002025
A,1,96,Algorithm1,0.002004
A,1,96,Algorithm1,0.002002
A,1,96,Algorithm1,0.002002
A,1,96,Algorithm1,0.002004
A,1,96,Algorithm1,0.002008
A,1,96,Algorithm1,0.001997
A,1,96,Algorithm1,0.001998
A,1,96,Algorithm1,0.002007
A,1,96,Algorithm1,0.002007
A,1,96,Algorithm1,0.002003
A,1,96,Algorithm1,0.002018
A,1,96,Algorithm1,0.002012
A,1,96,Algorithm1,0.002006
A,1,96,Algorithm1,0.002001
A,1,96,Algorithm1,0.002011
A,1,96,Algorithm1,0.002035
A,1,96,Algorithm1,0.002006
A,1,96,Algorithm1,0.002020
A,1,96,Algorithm1,0.001997
A,1,96,Algorithm1,0.002004
A,1,96,Algorithm1,0.002002
A,1,96,Algorithm1,0.002025
A,1,96,Algorithm1,0.001999
A,1,96,Algorithm1,0.002003
A,1,96,Algorithm1,0.002009
A,1,96,Algorithm1,0.002015
A,1,96,Algorithm1,0.002002
A,2,96,Algorithm1,0.001053
A,2,96,Algorithm1,0.001172
A,2,96,Algorithm1,0.001044
A,2,96,Algorithm1,0.001052
A,2,96,Algorithm1,0.001062
A,2,96,Algorithm1,0.001116
A,2,96,Algorithm1,0.001055
A,2,96,Algorithm1,0.001056
A,2,96,Algorithm1,0.001057
A,2,96,Algorithm1,0.001063
A,2,96,Algorithm1,0.001062
A,2,96,Algorithm1,0.001071
A,2,96,Algorithm1,0.001062
A,2,96,Algorithm1,0.001055
A,2,96,Algorithm1,0.001057
A,2,96,Algorithm1,0.001053
A,2,96,Algorithm1,0.001062
A,2,96,Algorithm1,0.001054
A,2,96,Algorithm1,0.001056
A,2,96,Algorithm1,0.001053
A,2,96,Algorithm1,0.001052
A,2,96,Algorithm1,0.001052
A,2,96,Algorithm1,0.001052
A,2,96,Algorithm1,0.001050
A,2,96,Algorithm1,0.001055
A,2,96,Algorithm1,0.001054
A,2,96,Algorithm1,0.001079
A,2,96,Algorithm1,0.001061
A,2,96,Algorithm1,0.001083
A,2,96,Algorithm1,0.001052
A,2,96,Algorithm1,0.001061
A,2,96,Algorithm1,0.001055
A,2,96,Algorithm1,0.001065
A,2,96,Algorithm1,0.001051
A,2,96,Algorithm1,0.001058
A,2,96,Algorithm1,0.001054
A,4,96,Algorithm1,0.000589
A,4,96,Algorithm1,0.000604
A,4,96,Algorithm1,0.000578
A,4,96,Algorithm1,0.000566
A,4,96,Algorithm1,0.000584
A,4,96,Algorithm1,0.000816
A,4,96,Algorithm1,0.000585
A,4,96,Algorithm1,0.000602
A,4,96,Algorithm1,0.000574
A,4,96,Algorithm1,0.000580
