Node,NumThreads,Load,Algorithm,Time
B,1,96,Algorithm1,0.001931
B,1,96,Algorithm1,0.001915
B,1,96,Algorithm1,0.001918
B,1,96,Algorithm1,0.001927
B,1,96,Algorithm1,0.001923
B,1,96,Algorithm1,0.001919
B,1,96,Algorithm1,0.001918
B,1,96,Algorithm1,0.001934
B,1,96,Algorithm1,0.001916
B,1,96,Algorithm1,0.001916
B,1,96,Algorithm1,0.001927
B,1,96,Algorithm1,0.001927
B,1,96,Algorithm1,0.001917
B,1,96,Algorithm1,0.001921
B,1,96,Algorithm1,0.001932
B,1,96,Algorithm1,0.001918
B,1,96,Algorithm1,0.001918
B,1,96,Algorithm1,0.001924
B,1,96,Algorithm1,0.001920
B,1,96,Algorithm1,0.001918
B,1,96,Algorithm1,0.001921
B,1,96,Algorithm1,0.001936
B,1,96,Algorithm1,0.001917
B,1,96,Algorithm1,0.002033
B,1,96,Algorithm1,0.002061
B,1,96,Algorithm1,0.002059
B,1,96,Algorithm1,0.002064
B,1,96,Algorithm1,0.002072
B,1,96,Algorithm1,0.002069
B,1,96,Algorithm1,0.002062
B,1,96,Algorithm1,0.002059
B,1,96,Algorithm1,0.002072
B,1,96,Algorithm1,0.002065
B,1,96,Algorithm1,0.002063
B,1,96,Algorithm1,0.002062
B,1,96,Algorithm1,0.002080
B,2,96,Algorithm1,0.001088
B,2,96,Algorithm1,0.001084
B,2,96,Algorithm1,0.001094
B,2,96,Algorithm1,0.001086
B,2,96,Algorithm1,0.001086
B,2,96,Algorithm1,0.001084
B,2,96,Algorithm1,0.001086
B,2,96,Algorithm1,0.001083
B,2,96,Algorithm1,0.001089
B,2,96,Algorithm1,0.001091
B,2,96,Algorithm1,0.001094
B,2,96,Algorithm1,0.001084
B,2,96,Algorithm1,0.001089
B,2,96,Algorithm1,0.001087
B,2,96,Algorithm1,0.001094
B,2,96,Algorithm1,0.001084
B,2,96,Algorithm1,0.001097
B,2,96,Algorithm1,0.001085
B,2,96,Algorithm1,0.001103
B,2,96,Algorithm1,0.001202
B,2,96,Algorithm1,0.001074
B,2,96,Algorithm1,0.001096
B,2,96,Algorithm1,0.001081
B,2,96,Algorithm1,0.001085
B,2,96,Algorithm1,0.001252
B,2,96,Algorithm1,0.001090
B,2,96,Algorithm1,0.001131
B,2,96,Algorithm1,0.001089
B,2,96,Algorithm1,0.001094
B,2,96,Algorithm1,0.001087
B,2,96,Algorithm1,0.001091
B,2,96,Algorithm1,0.001084
B,2,96,Algorithm1,0.001084
B,2,96,Algorithm1,0.001087
B,2,96,Algorithm1,0.001100
B,2,96,Algorithm1,0.001084
B,4,96,Algorithm1,0.000603
B,4,96,Algorithm1,0.000585
B,4,96,Algorithm1,0.000589
B,4,96,Algorithm1,0.000586
B,4,96,Algorithm1,0.000601
B,4,96,Algorithm1,0.000604
B,4,96,Algorithm1,0.000593
B,4,96,Algorithm1,0.000605
B,4,96,Algorithm1,0.000590
B,4,96,Algorithm1,0.000891
B,4,96,Algorithm1,0.000642
B,4,96,Algorithm1,0.000587
B,4,96,Algorithm1,0.000589
B,4,96,Algorithm1,0.000587
B,4,96,Algorithm1,0.000593
B,4,96,Algorithm1,0.000585
B,4,96,Algorithm1,0.000592
B,4,96,Algorithm1,0.000603
B,4,96,Algorithm1,0.000606
B,4,96,Algorithm1,0.000879
B,4,96,Algorithm1,0.000598
B,4,96,Algorithm1,0.000591
B,4,96,Algorithm1,0.000594
B,4,96,Algorithm1,0.000591
B,4,96,Algorithm1,0.000599
B,4,96,Algorithm1,0.000586
B,4,96,Algorithm1,0.000588
B,4,96,Algorithm1,0.000589
B,4,96,Algorithm1,0.000586
B,4,96,Algorithm1,0.000593
B,4,96,Algorithm1,0.000594
B,4,96,Algorithm1,0.000596
B,4,96,Algorithm1,0.000594
B,4,96,Algorithm1,0.000595
B,4,96,Algorithm1,0.000586
B,4,96,Algorithm1,0.000590
B,8,96,Algorithm1,0.000575
B,8,96,Algorithm1,0.000564
B,8,96,Algorithm1,0.000564
B,8,96,Algorithm1,0.000616
B,8,96,Algorithm1,0.000563
