Node,NumThreads,Load,Algorithm,Time
C,1,96,Algorithm1,0.003127
C,1,96,Algorithm1,0.003073
C,1,96,Algorithm1,0.003039
C,1,96,Algorithm1,0.003137
C,1,96,Algorithm1,0.003136
C,1,96,Algorithm1,0.003093
C,1,96,Algorithm1,0.003075
C,1,96,Algorithm1,0.003074
C,1,96,Algorithm1,0.003115
C,1,96,Algorithm1,0.003132
C,1,96,Algorithm1,0.003073
C,1,96,Algorithm1,0.003140
C,1,96,Algorithm1,0.003156
C,1,96,Algorithm1,0.003184
C,1,96,Algorithm1,0.003113
C,1,96,Algorithm1,0.003148
C,1,96,Algorithm1,0.003087
C,1,96,Algorithm1,0.003078
C,1,96,Algorithm1,0.003134
C,1,96,Algorithm1,0.003132
C,1,96,Algorithm1,0.003100
C,1,96,Algorithm1,0.002968
C,1,96,Algorithm1,0.003070
C,1,96,Algorithm1,0.003073
C,1,96,Algorithm1,0.003077
C,1,96,Algorithm1,0.003109
C,1,96,Algorithm1,0.003142
C,1,96,Algorithm1,0.003027
C,1,96,Algorithm1,0.003050
C,1,96,Algorithm1,0.003092
C,1,96,Algorithm1,0.002983
C,1,96,Algorithm1,0.003050
C,1,96,Algorithm1,0.002993
C,1,96,Algorithm1,0.003106
C,1,96,Algorithm1,0.003006
C,1,96,Algorithm1,0.003124
C,2,96,Algorithm1,0.001634
C,2,96,Algorithm1,0.001660
C,2,96,Algorithm1,0.001626
C,2,96,Algorithm1,0.001626
C,2,96,Algorithm1,0.001632
C,2,96,Algorithm1,0.001630
C,2,96,Algorithm1,0.001605
C,2,96,Algorithm1,0.001619
C,2,96,Algorithm1,0.001622
C,2,96,Algorithm1,0.001649
C,2,96,Algorithm1,0.001657
C,2,96,Algorithm1,0.001609
C,2,96,Algorithm1,0.001613
C,2,96,Algorithm1,0.001617
C,2,96,Algorithm1,0.001610
C,2,96,Algorithm1,0.001627
C,2,96,Algorithm1,0.001667
C,2,96,Algorithm1,0.001615
C,2,96,Algorithm1,0.001683
C,2,96,Algorithm1,0.001648
C,2,96,Algorithm1,0.001636
C,2,96,Algorithm1,0.001650
C,2,96,Algorithm1,0.001625
C,2,96,Algorithm1,0.001647
C,2,96,Algorithm1,0.001638
C,2,96,Algorithm1,0.001668
C,2,96,Algorithm1,0.001607
C,2,96,Algorithm1,0.001586
C,2,96,Algorithm1,0.001615
C,2,96,Algorithm1,0.001617
C,2,96,Algorithm1,0.001688
C,2,96,Algorithm1,0.001611
C,2,96,Algorithm1,0.001612
C,2,96,Algorithm1,0.001621
C,2,96,Algorithm1,0.001673
C,2,96,Algorithm1,0.001660
C,4,96,Algorithm1,0.000895
C,4,96,Algorithm1,0.000885
C,4,96,Algorithm1,0.000942
C,4,96,Algorithm1,0.000875
C,4,96,Algorithm1,0.000907
C,4,96,Algorithm1,0.000899
C,4,96,Algorithm1,0.000899
C,4,96,Algorithm1,0.000876
C,4,96,Algorithm1,0.000911
C,4,96,Algorithm1,0.000871
C,4,96,Algorithm1,0.000873
C,4,96,Algorithm1,0.000900
C,4,96,Algorithm1,0.000861
C,4,96,Algorithm1,0.000915
C,4,96,Algorithm1,0.000904
C,4,96,Algorithm1,0.000871
C,4,96,Algorithm1,0.000927
C,4,96,Algorithm1,0.000902
C,4,96,Algorithm1,0.000888
C,4,96,Algorithm1,0.000913
C,4,96,Algorithm1,0.000873
C,4,96,Algorithm1,0.000895
C,4,96,Algorithm1,0.000923
C,4,96,Algorithm1,0.000897
C,4,96,Algorithm1,0.000888
C,4,96,Algorithm1,0.000892
C,4,96,Algorithm1,0.000867
C,4,96,Algorithm1,0.000895
C,4,96,Algorithm1,0.000892
C,4,96,Algorithm1,0.000889
C,4,96,Algorithm1,0.000907
C,4,96,Algorithm1,0.000892
C,4,96,Algorithm1,0.000892
C,4,96,Algorithm1,0.000927
C,4,96,Algorithm1,0.000865
C,4,96,Algorithm1,0.000875
C,8,96,Algorithm1,0.000614
C,8,96,Algorithm1,0.000609
C,8,96,Algorithm1,0.000623
C,8,96,Algorithm1,0.000581
C,8,96,Algorithm1,0.000584
C,8,96,Algorithm1,0.000602
C,8,96,Algorithm1,0.000603
C,8,96,Algorithm1,0.000632
C,8,96,Algorithm1,0.000611
