Node,NumThreads,Load,Algorithm,Time
D,1,96,Algorithm1,0.003024
D,1,96,Algorithm1,0.003013
D,1,96,Algorithm1,0.003010
D,1,96,Algorithm1,0.003047
D,1,96,Algorithm1,0.003045
D,1,96,Algorithm1,0.003002
D,1,96,Algorithm1,0.003090
D,1,96,Algorithm1,0.002976
D,1,96,Algorithm1,0.002979
D,1,96,Algorithm1,0.002974
D,1,96,Algorithm1,0.003003
D,1,96,Algorithm1,0.002995
D,1,96,Algorithm1,0.003003
D,1,96,Algorithm1,0.002983
D,1,96,Algorithm1,0.002988
D,1,96,Algorithm1,0.002989
D,1,96,Algorithm1,0.002984
D,1,96,Algorithm1,0.003004
D,1,96,Algorithm1,0.003041
D,1,96,Algorithm1,0.003101
D,1,96,Algorithm1,0.003012
D,1,96,Algorithm1,0.002996
D,1,96,Algorithm1,0.002979
D,1,96,Algorithm1,0.003079
D,1,96,Algorithm1,0.002995
D,1,96,Algorithm1,0.003059
D,1,96,Algorithm1,0.002995
D,1,96,Algorithm1,0.003014
D,1,96,Algorithm1,0.002989
D,1,96,Algorithm1,0.003018
D,1,96,Algorithm1,0.003027
D,1,96,Algorithm1,0.003015
D,1,96,Algorithm1,0.002998
D,1,96,Algorithm1,0.003031
D,1,96,Algorithm1,0.003055
D,1,96,Algorithm1,0.002973
D,2,96,Algorithm1,0.001571
D,2,96,Algorithm1,0.001650
D,2,96,Algorithm1,0.001571
D,2,96,Algorithm1,0.001566
D,2,96,Algorithm1,0.001550
D,2,96,Algorithm1,0.001534
D,2,96,Algorithm1,0.001595
D,2,96,Algorithm1,0.001562
D,2,96,Algorithm1,0.001594
D,2,96,Algorithm1,0.001554
D,2,96,Algorithm1,0.001556
D,2,96,Algorithm1,0.001535
D,2,96,Algorithm1,0.001571
D,2,96,Algorithm1,0.001538
D,2,96,Algorithm1,0.001564
D,2,96,Algorithm1,0.001540
D,2,96,Algorithm1,0.001565
D,2,96,Algorithm1,0.001535
D,2,96,Algorithm1,0.001605
D,2,96,Algorithm1,0.001585
D,2,96,Algorithm1,0.001571
D,2,96,Algorithm1,0.001577
D,2,96,Algorithm1,0.001624
D,2,96,Algorithm1,0.001553
D,2,96,Algorithm1,0.001567
D,2,96,Algorithm1,0.001541
D,2,96,Algorithm1,0.001618
D,2,96,Algorithm1,0.001522
D,2,96,Algorithm1,0.001566
D,2,96,Algorithm1,0.001633
D,2,96,Algorithm1,0.001595
D,2,96,Algorithm1,0.001558
D,2,96,Algorithm1,0.001579
D,2,96,Algorithm1,0.001589
D,2,96,Algorithm1,0.001531
D,2,96,Algorithm1,0.001563
D,4,96,Algorithm1,0.000876
D,4,96,Algorithm1,0.000853
D,4,96,Algorithm1,0.000844
D,4,96,Algorithm1,0.000856
D,4,96,Algorithm1,0.000892
D,4,96,Algorithm1,0.000870
D,4,96,Algorithm1,0.000860
D,4,96,Algorithm1,0.000843
D,4,96,Algorithm1,0.000846
D,4,96,Algorithm1,0.000889
D,4,96,Algorithm1,0.000861
D,4,96,Algorithm1,0.000948
D,4,96,Algorithm1,0.000866
D,4,96,Algorithm1,0.000859
D,4,96,Algorithm1,0.000866
D,4,96,Algorithm1,0.000849
D,4,96,Algorithm1,0.000832
D,4,96,Algorithm1,0.000873
D,4,96,Algorithm1,0.000859
D,4,96,Algorithm1,0.000850
D,4,96,Algorithm1,0.000906
D,4,96,Algorithm1,0.000840
D,4,96,Algorithm1,0.000849
D,4,96,Algorithm1,0.000865
D,4,96,Algorithm1,0.000844
D,4,96,Algorithm1,0.000847
D,4,96,Algorithm1,0.000836
D,4,96,Algorithm1,0.000849
D,4,96,Algorithm1,0.000829
D,4,96,Algorithm1,0.000859
D,4,96,Algorithm1,0.000847
D,4,96,Algorithm1,0.000870
D,4,96,Algorithm1,0.000859
D,4,96,Algorithm1,0.000927
D,4,96,Algorithm1,0.000852
D,4,96,Algorithm1,0.000858
D,8,96,Algorithm1,0.000823
D,8,96,Algorithm1,0.000744
D,8,96,Algorithm1,0.000738
D,8,96,Algorithm1,0.000683
D,8,96,Algorithm1,0.000635
D,8,96,Algorithm1,0.000740
D,8,96,Algorithm1,0.000766
D,8,96,Algorithm1,0.000734
D,8,96,Algorithm1,0.000706
D,8,96,Algorithm1,0.000681
D,8,96,Algorithm1,0.000595
D,8,96,Algorithm1,0.000600
D,8,96,Algorithm1,0.000775
D,8,96,Algorithm1,0.000711
D,8,96,Algorithm1,0.000666
D,8,96,Algorithm1,0.000666
D,8,96,Algorithm1,0.000630
D,8,96,Algorithm1,0.000701
D,8,96,Algorithm1,0.000670
D,8,96,Algorithm1,0.000655
D,8,96,Algorithm1,0.000645
D,8,96,Algorithm1,0.000688
D,8,96,Algorithm1,0.000614
D,8,96,Algorithm1,0.000666
D,8,96,Algorithm1,0.000602
D,8,96,Algorithm1,0.000687
D,8,96,Algorithm1,0.000661
D,8,96,Algorithm1,0.000620
D,8,96,Algorithm1,0.000659
D,8,96,Algorithm1,0.000744
D,8,96,Algorithm1,0.000733
D,8,96,Algorithm1,0.000663
D,8,96,Algorithm1,0.000684
D,8,96,Algorithm1,0.000685
D,8,96,Algorithm1,0.000695
D,8,96,Algorithm1,0.000641
D,1,96,Algorithm2,0.003063
D,1,96,Algorithm2,0.003073
D,1,96,Algorithm2,0.003151
D,1,96,Algorithm2,0.003066
D,1,96,Algorithm2,0.003060
D,1,96,Algorithm2,0.003073
D,1,96,Algorithm2,0.003012
D,1,96,Algorithm2,0.003010
D,1,96,Algorithm2,0.003100
D,1,96,Algorithm2,0.003033
D,1,96,Algorithm2,0.003015
D,1,96,Algorithm2,0.003069
D,1,96,Algorithm2,0.002996
D,1,96,Algorithm2,0.003041
D,1,96,Algorithm2,0.003039
D,1,96,Algorithm2,0.003067
D,1,96,Algorithm2,0.003113
D,1,96,Algorithm2,0.003047
D,1,96,Algorithm2,0.003068
D,1,96,Algorithm2,0.003002
D,1,96,Algorithm2,0.003016
D,1,96,Algorithm2,0.003004
D,1,96,Algorithm2,0.002994
D,1,96,Algorithm2,0.003047
D,1,96,Algorithm2,0.003018
D,1,96,Algorithm2,0.003049
D,1,96,Algorithm2,0.003023
D,1,96,Algorithm2,0.003002
D,1,96,Algorithm2,0.003030
D,1,96,Algorithm2,0.003016
D,1,96,Algorithm2,0.003020
D,1,96,Algorithm2,0.003087
D,1,96,Algorithm2,0.003014
D,1,96,Algorithm2,0.003081
D,1,96,Algorithm2,0.003041
D,1,96,Algorithm2,0.002997
D,2,96,Algorithm2,0.001559
D,2,96,Algorithm2,0.001571
D,2,96,Algorithm2,0.001579
D,2,96,Algorithm2,0.001582
D,2,96,Algorithm2,0.001569
D,2,96,Algorithm2,0.001561
D,2,96,Algorithm2,0.001581
D,2,96,Algorithm2,0.001583
D,2,96,Algorithm2,0.001566
